name,geometry
Kamal Junblat Secondary Girls School,POINT (35.2340179 32.2243517)
Al Salhen School For Boys,POINT (35.2401142 32.2338303)
Fadwa Tukan School For Girls,POINT (35.2335012 32.2253664)
Al Itihad Secondary Mix School,POINT (35.212142 32.2384112)
Ibn Kotaybah Elemintary School For Boys,POINT (35.2501966 32.22409)
Talal School For Boys,POINT (35.2466255 32.2253248)
Al Janah School,POINT (35.2207891 32.2244965)
Yasir Arafat Elemintary School For Boys,POINT (35.241256 32.2268255)
Husien Al Sabagh Secondary School For Girls,POINT (35.2311774 32.2210268)
Tala'i Al Amal Schools,POINT (35.2419335 32.2266647)
Islamic Secondary School For Boys,POINT (35.2393802 32.2243783)
Jamal Al Masri Secondary School For Girls,POINT (35.2289005 32.2210419)
Abd Al Minim Al Saieh School For Girls,POINT (35.2462031 32.2253933)
Adel Zoaiter Elementary School For Girls,POINT (35.2535643 32.2211372)
Said Sail Elemintary School For Boys,POINT (35.25384 32.2316256)
Al Awkaf School,POINT (35.2456291 32.2245135)
Rafidia Girls School,POINT (35.2338782 32.2241748)
Al Hajeh Rashdah Secondary School For Girls,POINT (35.2519634 32.2313251)
Saed Bin Ameer Elemintary School For Girls,POINT (35.2290055 32.2212692)
Omar Bin Al Khatab Elemintary School For Boys,POINT (35.2316379 32.2202899)
Mohamed Tufaha Elemintary School For Girls,POINT (35.242218 32.236463)
مدرسة علي الطيبي الثانوية للبنين,POINT (35.2532067 32.2175352)
روضة طلائع الأمل,POINT (35.2419087 32.2247725)
مدرسة بكالوريا الرواد- نابلس,POINT (35.2319215 32.2356712)
مدرسة المخفية,POINT (35.2358236 32.2193336)
مدرسة البسطامي,POINT (35.2447025 32.234249)
مدرسة مهند المصري,POINT (35.2500473 32.2201307)
روضة وحضانة الشموع,POINT (35.2326774 32.2198234)
مدرسة القادة الصغار,POINT (35.2515804 32.2106653)
مدرسة عبد الهاديالاساسية للبنين,POINT (35.2412294 32.2320862)
مدرسة الامير صارم الدين للبنين,POINT (35.2458119 32.2335968)
المدرسة الانجليزية الحديثة,POINT (35.2426698 32.2352431)
