rain_lag_1h,pressure_lag_1h,rain_lag_3h,pressure_lag_3h,rain_lag_6h,pressure_lag_6h,rain_lag_12h,pressure_lag_12h,rain_lag_24h,pressure_lag_24h,rain_rolling_6h_sum,Actual_Label,Predicted_Label
0.0,1019.5,0.0,1020.1,0.0,1020.5,0.0,1020.8,0.0,1021.9,0.0,0,0
0.0,1014.8,0.0,1014.5,0.0,1013.3,0.0,1014.4,0.0,1013.9,0.0,0,0
0.0,1020.9,0.0,1020.7,0.0,1020.5,0.0,1022.0,0.0,1019.8,0.0,0,0
0.0,1020.6,0.0,1022.0,0.0,1021.8,0.0,1022.3,0.0,1022.9,0.0,0,0
0.0,1008.4,0.0,1009.7,0.0,1011.2,0.0,1010.6,0.0,1008.9,0.0,0,0
0.0,1014.8,0.0,1016.5,0.0,1016.6,0.0,1017.2,0.0,1016.7,0.0,0,0
0.3,1019.8,0.2,1020.1,0.1,1019.6,0.0,1019.2,0.0,1017.0,2.1000000163912773,0,0
0.0,1012.6,0.0,1013.3,0.0,1013.3,0.0,1010.7,0.0,1011.0,0.0,0,0
0.0,1008.7,0.0,1007.3,0.0,1007.3,0.0,1010.9,0.0,1013.2,0.0,0,0
0.0,1017.1,0.0,1016.8,0.0,1015.6,0.0,1016.3,0.0,1014.0,0.0,0,0
0.4,1015.0,0.7,1013.7,1.4,1013.0,0.1,1014.6,0.1,1014.9,3.5999999940395355,0,0
0.0,1024.2,0.0,1024.5,0.0,1024.7,0.2,1023.6,0.2,1020.5,0.0,0,0
0.0,1016.1,0.0,1015.4,0.0,1014.0,0.0,1013.1,0.0,1011.0,0.0,0,0
0.0,1009.5,0.0,1008.9,0.0,1009.2,0.0,1011.5,0.0,1012.6,0.0,0,0
0.0,1008.4,0.0,1008.2,0.0,1008.9,0.0,1007.5,0.0,1010.9,0.0,0,0
0.7,1006.5,0.8,1005.5,0.0,1004.4,0.0,1008.4,0.0,1013.5,4.699999935925007,0,0
0.0,1012.2,0.0,1011.4,0.0,1009.8,0.0,1009.9,0.0,1007.2,0.0,0,0
0.2,1020.5,0.6,1019.9,0.7,1020.3,0.9,1022.0,0.1,1021.8,2.5000000298023224,0,0
0.0,1019.1,0.0,1019.1,0.0,1019.7,0.0,1021.7,0.0,1020.5,0.0,0,0
0.0,1009.6,0.0,1010.0,0.0,1012.5,0.0,1011.6,0.0,1011.1,0.0,0,0
